Player,Site,Hands,VPIP,PFR,CC,Limp nSB,3Bet nAI,F3Bet,WTSD no AI%,WWSF no AI,WS HU,LS HU,WN HU,LN HU,Bet R HU,Fold to R Bet HU,All-In Adj BB/100,EV -60bb,NonSD,BB Won,Cluster
Momentum288,888 Poker,196011,20.85,15.16,4.75,0.04,6.87,43.81,30.34,42.38,19.28,12.61,30.23,37.89,29.0,55.07,8.17,4.59,-15.42,11581.86,7
TOMA188288,888 Poker,185932,24.55,15.87,11.4,0.8,4.59,30.72,32.48,42.76,17.21,15.08,34.4,33.31,36.18,52.28,5.46,3.93,-14.83,6433.06,7
davcab92,888 Poker,167667,22.99,16.36,5.88,0.56,5.74,54.71,26.76,40.42,16.03,11.38,30.77,41.82,34.72,66.9,5.36,4.61,-17.22,6616.24,16
bluffing420s,888 Poker,167339,21.56,14.04,9.61,0.38,3.52,47.99,27.34,39.69,17.4,11.96,30.39,40.25,40.8,58.23,3.2,2.15,-16.82,3999.17,16
LaserMammoth,888 Poker,153178,25.95,16.81,13.04,0.24,4.49,47.27,24.91,40.44,13.14,11.62,36.74,38.5,36.05,64.06,2.84,1.8,-15.43,2261.98,10
Elquelele,888 Poker,150198,21.37,14.53,8.19,0.24,4.16,41.15,26.3,41.39,14.44,12.46,34.34,38.77,40.31,62.0,1.54,1.91,-12.95,-554.53,10
Lendario99,888 Poker,144781,34.81,24.19,16.63,1.33,7.79,36.55,32.16,46.4,16.17,16.32,38.62,28.88,50.41,43.61,10.95,11.52,6.82,13875.04,4
DXforce,888 Poker,139290,23.51,14.23,11.66,0.05,2.93,46.28,24.62,37.87,14.28,11.27,31.03,43.43,42.12,57.33,5.29,2.64,-16.51,7257.42,16
KvazaR.V,888 Poker,128452,23.35,17.62,5.36,0.47,5.62,41.44,27.96,49.19,14.3,14.55,43.91,27.24,46.17,41.05,11.98,8.3,2.67,15136.94,0
xxtomasxx,888 Poker,123361,22.87,13.41,10.02,0.57,3.79,40.46,26.46,41.79,13.88,12.59,35.97,37.55,38.85,61.37,5.04,0.41,-10.82,5469.11,18
Nieudacznik3,888 Poker,120923,15.98,10.23,6.31,1.53,3.03,39.18,34.4,45.11,20.77,15.3,33.56,30.37,36.42,44.97,1.4,1.58,-14.7,525.81,14
goldskill,888 Poker,119806,20.65,13.95,5.11,0.26,4.32,49.85,25.43,41.31,15.72,10.67,31.21,42.39,34.31,59.38,5.72,5.31,-14.97,7193.81,16
